rat,bloodtol,weight,age,newppm,snoutsize
1,5.553,393,90,24,2
2,2.494,378,95,3.5714285,2
3,.60900003,450,85,7.1428571,2
4,.76300001,439,70,10.714286,2
5,.41999999,397,75,14.285714,2
6,.39700001,301,84,17.857143,1
7,.50300002,406,80,21.428572,2
8,.53399998,302,75,25,1
9,.53100002,382,74,28.571428,2
10,.384,355,80,32.142857,2
11,.215,700,75,35.714287,2
12,.55199999,405,70,39.285713,2
13,.41999999,387,85,42.857143,2
14,.324,358,85,46.42857,2
15,.38699999,311,85,48.759991,1
16,1.036,355,86,51.349873,2
17,1.0650001,440,86,53.57143,2
18,1.084,421,76,57.142857,2
19,.94400001,370,86,60.714287,2
20,.99400002,375,86,64.285713,2
21,1.146,368,83,67.85714,2
22,1.1670001,321,90,71.428574,1
23,.833,359,83,75,2
24,.63,367,83,78.571426,2
25,.95499998,363,73,82.14286,2
26,.68699998,388,76,85.714287,2
27,.72299999,404,86,89.285713,2
28,.70499998,454,86,92.85714,2
29,.69599998,389,86,96.428574,2
30,.86799997,352,86,99,2
31,8.2229996,367,83,110,2
32,10.604,406,83,128.57143,2
33,12.085,371,83,1000,2
34,7.9359999,408,83,185.71428,2
35,11.164,305,83,214.28572,1
36,10.289,391,84,242.85715,2
37,11.14,100,84,271.42856,1
38,9.6470003,347,84,300,1
39,13.343,372,84,328.57144,2
40,11.292,331,84,357.14285,1
41,7.5240002,365,85,385.71429,2
42,10.783,348,85,414.28571,1
43,8.5950003,416,80,442.85715,2
44,15.616,344,75,510,1
45,20.955999,398,85,500,2
46,30.274,417,93,520,2
47,32.923,351,93,535.71429,2
48,28.618999,378,93,500,2
49,28.761,338,93,607.14288,1
50,25.402,433,93,700,2
51,35.464001,342,75,678.57141,1
52,32.706001,319,85,714.28571,1
53,29.347,440,85,750,2
54,26.481001,363,85,785.71429,2
55,33.401001,336,85,200,1
56,39.541,378,86,857.14288,2
57,28.155001,420,86,892.85712,2
58,25.629,346,86,928.57141,1
59,33.188,413,86,964.28571,2
60,33.505001,600,75,1000,2
